"","schlcode","enrollment","classize","avgmath","avgverb","disadv"
"1",11005,54,28,74.1100006103516,70.5699996948242,24
"2",11005,54,26,71.1100006103516,75,24
"3",11006,37,22,64,75.4700012207031,38
"4",11006,37,15,50,60.6474990844727,38
"5",11009,32,32,68.379997253418,73.9700012207031,6
"6",11010,68,34,59.8600006103516,69.5500030517578,3
"7",11010,68,34,61.9000015258789,68.129997253418,3
"8",11013,86,30,61.0999984741211,65.5699996948242,8
"9",11013,86,26,59.4199981689453,69.9199981689453,8
"10",11013,86,31,66.370002746582,73.1399993896484,8
"11",11015,95,32,76.5699996948242,79.6600036621094,6
"12",11015,95,32,71.2900009155273,75.9400024414062,6
"13",11015,95,31,81.0400009155273,84.8899993896484,6
"14",11017,77,39,65.7799987792969,70.370002746582,9
"15",11017,77,38,68.5046691894531,71.7112884521484,9
"16",11020,97,31,71.3000030517578,78.3099975585938,5
"17",11020,97,33,77.2600021362305,78.0999984741211,5
"18",11020,97,33,73.3000030517578,77.2099990844727,5
"19",11021,58,30,57.8600006103516,72.6399993896484,11
"20",11021,58,28,56.5400009155273,67.7099990844727,11
"21",11027,97,34,71.0899963378906,81.0299987792969,5
"22",11027,97,29,65.2099990844727,73.379997253418,5
"23",11027,97,34,64.4830322265625,73.2587127685547,5
"24",11029,70,34,56.2299995422363,65.1900024414062,11
"25",11029,70,36,57.7020606994629,74.3855895996094,11
"26",11031,42,23,67.0899963378906,74.5699996948242,12
"27",11031,42,19,64.4100036621094,69.0599975585938,12
"28",11032,95,32,49.5200004577637,61.0699996948242,13
"29",11032,95,31,59.5,68.9700012207031,13
"30",11032,95,29,60.2900009155273,62.6199989318848,13
"31",11034,56,28,64.75,70.5899963378906,11
"32",11034,56,28,67.2962951660156,71.4100036621094,11
"33",11044,11,17,55.5800018310547,69.25,50
"34",11045,76,38,68.5800018310547,74.8499984741211,9
"35",11045,76,38,67.4683303833008,75.1416702270508,9
"36",11048,74,38,67.7600021362305,82.0299987792969,11
"37",11048,74,36,75.3499984741211,75.6500015258789,11
"38",11054,35,35,63,68,17
"39",11058,82,25,62.5699996948242,72.6699981689453,13
"40",11058,82,29,62.5800018310547,72.3199996948242,13
"41",11058,82,26,53.7799987792969,76.3199996948242,13
"42",11061,46,16,44.2700004577637,61.6399993896484,15
"43",11061,46,30,57.0800018310547,73.75,15
"44",11064,40,40,48.7299995422363,52.7700004577637,25
"45",11065,20,20,67.5,73.6699981689453,42
"46",11067,62,22,47.7099990844727,61,31
"47",11067,62,29,51.5400009155273,66.4199981689453,31
"48",11072,41,21,68.8899993896484,71.8399963378906,25
"49",11072,41,20,61.304500579834,72.1520004272461,25
"50",11073,60,30,72.3600006103516,84.9300003051758,7
"51",11073,60,30,65.4800033569336,72.8000030517578,7
"52",11106,58,29,77.5999984741211,80.0999984741211,3
"53",11106,58,29,78.470588684082,86.4117660522461,3
"54",11108,12,12,48.75,57.0900001525879,54
"55",11109,119,24,64.129997253418,72.0899963378906,5
"56",11109,119,26,70.5199966430664,82.5199966430664,5
"57",11109,119,32,67.0899963378906,81.25,5
"58",11109,119,26,63.310001373291,70.9199981689453,5
"59",11111,106,33,63.8600006103516,74.7900009155273,5
"60",11111,106,30,56.2200012207031,72.7300033569336,5
"61",11111,106,31,62.3300018310547,76.9000015258789,5
"62",11115,57,30,58.439998626709,76.5299987792969,11
"63",11115,57,27,61.9967994689941,73.0875015258789,11
"64",11117,66,28,62.5900001525879,67.4599990844727,31
"65",11117,66,27,57.6300010681152,62.6599998474121,31
"66",11119,83,29,48.0699996948242,75.6800003051758,21
"67",11119,83,24,55.810001373291,69.4300003051758,21
"68",11119,83,30,62.7900009155273,81.9599990844727,21
"69",11120,106,35,54.3899993896484,71.7600021362305,2
"70",11120,106,35,55.4500007629395,69.1600036621094,2
"71",11120,106,36,58.2993545532227,75.3172378540039,2
"72",11126,47,22,53.9099998474121,66.4800033569336,16
"73",11126,47,25,54.9599990844727,66.4300003051758,16
"74",11127,29,29,62.7799987792969,78.0299987792969,6
"75",11128,79,22,81.4300003051758,79.0899963378906,12
"76",11128,79,31,74.3899993896484,78.1100006103516,12
"77",11128,79,26,75.4599990844727,80.0800018310547,12
"78",11132,106,35,61.1500015258789,75.7900009155273,9
"79",11132,106,32,66.5500030517578,76.0999984741211,9
"80",11132,106,31,56.2099990844727,74.4499969482422,9
"81",11133,29,29,72,80,7
"82",11134,60,28,69.7399978637695,84.6500015258789,2
"83",11134,60,32,69.8000030517578,82.9300003051758,2
"84",11135,65,33,79.8600006103516,80.5,4
"85",11135,65,32,72.1399993896484,79.4827575683594,4
"86",11144,80,27,56.1199989318848,66.0800018310547,10
"87",11144,80,26,60.3600006103516,69.9599990844727,10
"88",11144,80,27,61.9599990844727,62.2599983215332,10
"89",11150,101,34,72.6100006103516,73.9700012207031,2
"90",11150,101,33,66.0999984741211,70.7099990844727,2
"91",11150,101,34,68.5299987792969,71.3099975585938,2
"92",11151,42,22,48.9500007629395,69.2799987792969,42
"93",11151,42,20,49.0527763366699,52.7200012207031,42
"94",11152,68,34,73.0599975585938,74.0999984741211,5
"95",11152,68,34,75.5,79.5299987792969,5
"96",11159,50,26,74.5599975585938,80.7799987792969,17
"97",11159,50,24,58.8300018310547,70.2099990844727,17
"98",11161,40,18,61.8300018310547,77.2900009155273,19
"99",11161,40,22,62.1457138061523,73.1461868286133,19
"100",11165,21,21,78.1699981689453,77.6699981689453,1
"101",11168,24,24,58.4799995422363,73.2600021362305,5
"102",11170,67,43,74.25,85.1900024414062,2
"103",11170,67,24,77.5199966430664,86.0899963378906,2
"104",11171,74,33,70.6600036621094,77.4800033569336,8
"105",11171,74,41,63.4900016784668,69.8499984741211,8
"106",11172,13,13,81.2699966430664,86,7
"107",11181,64,32,68.3199996948242,71.9599990844727,8
"108",11181,64,32,59.6399993896484,72.7900009155273,8
"109",11182,46,23,69.3499984741211,79.3899993896484,9
"110",11182,46,23,74.9023818969727,82.7633361816406,9
